Month,Acre,Alagoas,Amazonas,Amapá,Bahia,Ceará,Distrito Federal,Espírito Santo,Goiás,Maranhão,Minas Gerais,Mato Grosso do Sul,Mato Grosso,Pará,Paraíba,Pernambuco,Piauí,Paraná,Rio de Janeiro,Rio Grande do Norte,Rondônia,Roraima,Rio Grande do Sul,Santa Catarina,Sergipe,São Paulo,Tocantins
January,1254.200000000003,218.60000000000008,3246.999999999989,1371.600000000003,5681.199999999942,581.9999999999995,1782.2000000000044,2768.400000000003,4404.39999999995,2098.6000000000085,16273.40000000046,3785.599999999983,6862.199999999899,5752.799999999942,567.9999999999995,653.3999999999994,3112.400000000001,3315.799999999981,7619.199999999909,225.19999999999985,1294.8000000000022,4.200000000000001,5646.799999999927,5751.999999999933,215.80000000000004,6844.7999999999065,5308.599999999936
February,1310.4000000000024,221.40000000000003,3436.999999999995,1087.6000000000008,4791.999999999948,2262.400000000004,1099.0000000000025,2242.2000000000016,3692.799999999976,4251.999999999976,10856.400000000096,3186.7999999999847,5228.599999999951,5579.999999999951,1039.6000000000029,729.2000000000052,4121.399999999975,2975.7999999999843,3164.199999999983,388.5999999999999,1276.0000000000014,6.8,5092.599999999936,3526.599999999967,261.7999999999995,5399.99999999993,3594.5999999999704
March,821.1999999999998,188.39999999999984,4023.999999999987,1324.0000000000032,1716.600000000007,2162.800000000004,884.8000000000009,1620.400000000005,4517.599999999969,4220.599999999975,9885.19999999998,2706.200000000006,5401.599999999951,8438.799999999932,1024.800000000003,751.4000000000019,2678.9999999999945,1655.40000000001,5539.599999999923,781.6000000000001,1204.0000000000018,33.800000000000004,6629.799999999918,2981.59999999999,219.5999999999998,4898.799999999926,3315.7999999999706
April,799.0000000000006,578.3999999999988,3791.1999999999903,1274.6000000000051,5043.799999999938,2092.6000000000063,445.7999999999996,534.199999999999,2120.400000000008,3760.399999999984,2476.999999999999,2522.3999999999955,3414.5999999999844,8331.999999999898,1164.0000000000025,895.6000000000017,2704.799999999996,2835.999999999989,502.1999999999982,639.8,944.0000000000005,177.39999999999992,12054.800000000045,4103.999999999938,730.6000000000008,1999.4000000000149,2752.999999999997
May,396.5999999999994,748.4000000000011,2757.399999999999,1834.0000000000064,2371.000000000008,396.5999999999991,0.6000000000000001,267.9999999999992,6.200000000000002,1189.8000000000045,604.4000000000011,673.8000000000011,119.40000000000012,4016.599999999984,899.9999999999999,325.99999999999903,449.3999999999996,2175.200000000003,703.8000000000029,133.39999999999984,153.00000000000003,147.79999999999993,15924.8000000006,5598.199999999915,909.2000000000018,1387.200000000007,97.00000000000011
June,149.4,682.200000000001,1177.8000000000025,983.6000000000014,2617.8000000000084,328.1999999999996,0.0,121.60000000000024,0.0,737.3999999999999,174.99999999999943,13.399999999999997,3.8000000000000007,1504.6000000000072,908.2000000000014,398.9999999999982,82.80000000000004,801.6000000000026,398.3999999999984,15.199999999999976,1.0,107.80000000000004,7915.399999999886,2790.199999999996,652.0000000000006,283.59999999999854,0.0
July,79.20000000000002,376.9999999999992,870.9999999999999,519.1999999999997,1138.6000000000115,49.20000000000001,0.0,118.20000000000014,0.0,161.60000000000002,207.3999999999996,597.3999999999993,0.6000000000000001,554.7999999999992,492.3999999999985,295.39999999999947,52.8,1766.8000000000163,631.6000000000009,7.600000000000002,3.4,96.20000000000002,2483.3999999999955,3944.599999999956,352.19999999999925,1331.200000000007,40.2
August,53.79999999999999,129.60000000000014,558.3999999999996,211.39999999999995,1491.2000000000148,0.4,0.0,400.1999999999989,0.0,34.2,466.7999999999978,693.6000000000004,59.80000000000003,548.6000000000003,124.80000000000018,72.40000000000012,10.0,757.8000000000015,1461.8000000000086,58.00000000000004,16.599999999999998,73.8,5160.199999999924,1212.8000000000077,196.79999999999984,1284.400000000006,72.00000000000001
September,180.8,79.80000000000005,848.4000000000003,68.80000000000001,571.5999999999987,0.2,0.0,279.19999999999976,42.8,26.4,435.1999999999993,958.0000000000008,159.8000000000001,286.99999999999983,135.80000000000007,93.20000000000012,4.4,1922.0000000000075,323.399999999999,20.2,107.8,97.60000000000002,7231.399999999864,2229.4,49.40000000000001,821.2000000000013,29.000000000000004
October,641.0000000000002,24.59999999999999,929.8000000000012,151.79999999999998,1035.0000000000025,0.6000000000000001,927.6000000000016,2168.8000000000056,2955.999999999997,244.1999999999999,9143.999999999938,2704.999999999998,1956.2000000000128,1148.800000000001,66.80000000000007,14.799999999999995,426.39999999999935,2919.19999999998,3083.999999999988,30.399999999999984,300.79999999999967,17.0,6380.199999999917,3198.9999999999786,15.599999999999993,3734.3999999999705,1562.6000000000065
November,753.8000000000002,105.40000000000003,1122.2000000000023,217.39999999999995,3195.3999999999933,2.0,1528.8000000000052,2352.800000000004,5386.999999999963,553.3999999999996,12261.800000000248,3369.7999999999843,4024.39999999996,1795.4000000000035,25.599999999999994,290.79999999999984,1178.6000000000015,3888.399999999981,3868.19999999997,9.8,276.1999999999992,160.99999999999974,3949.999999999958,3456.1999999999684,59.00000000000001,5656.999999999923,2798.5999999999844
December,564.7999999999996,37.400000000000034,3148.199999999977,528.4000000000003,654.5999999999993,152.19999999999993,1214.800000000001,2267.2000000000053,4740.799999999963,954.200000000001,15172.600000000406,4935.599999999959,3050.79999999999,4038.999999999975,268.19999999999953,152.7999999999999,1055.6000000000004,6146.999999999939,3942.1999999999553,73.40000000000006,537.800000000001,12.199999999999992,6014.59999999991,3472.1999999999684,26.19999999999999,6482.599999999894,3006.599999999988
