Code,Município,Precipitação Total 2024 (mm),Estação,Latitude,Longitude
4300406,Alegrete,1734.8,ALEGRETE,-29.70916666,-55.52555554
4301602,Bagé,1878,BAGE,-31.34777777,-54.01333333
4302105,Bento Gonçalves,2358.2,BENTO GONCALVES,-29.164581,-51.534202
4302808,Caçapava do Sul,2325.2,CACAPAVA DO SUL,-30.54527777,-53.46694443
4303509,Camaquã,1701.4,CAMAQUA,-30.80805555,-51.83416666
4303608,Cambará do Sul,2193.6,CAMBARA DO SUL,-29.04916666,-50.14972221
4303905,Campo Bom,2128.2,CAMPO BOM,-29.674293,-51.064042
4304408,Canela,3310.2,CANELA,-29.36888888,-50.82722221
4304507,Canguçu,1796.2,CANGUCU,-31.40333333,-52.70083333
4304663,Capão do Leão,1911.8,CAPAO DO LEAO (PELOTAS),-31.8025,-52.40722222
4306106,Cruz Alta,1888,CRUZ ALTA,-28.60344,-53.673597
4306601,Dom Pedrito,1861.6,DOM PEDRITO,-31.0025,-54.61805554
4306908,Encruzilhada do Sul,1278.8,ENCRUZILHADA DO SUL,-30.54305555,-52.52472221
4307005,Erechim,2246.2,ERECHIM,-27.65777777,-52.30583333
4308508,Frederico Westphalen,1924.8,FREDERICO WESTPHALEN,-27.39555555,-53.42944443
4310009,Ibirubá,2259.4,IBIRUBA,-28.65333333,-53.11194444
4311007,Jaguarão,2077.8,JAGUARAO,-32.53472221,-53.37583332
4311304,Lagoa Vermelha,1864.2,LAGOA VERMELHA,-28.222381,-51.512845
4313706,Palmeira das Missões,2236,PALMEIRA DAS MISSOES,-27.92027777,-53.31805554
4314100,Passo Fundo,2397.6,PASSO FUNDO,-28.22666666,-52.40361111
4314902,Porto Alegre,4087.6,PORTO ALEGRE- BELEM NOVO,-30.1861111,-51.17805554
4314902,Porto Alegre,4087.6,PORTO ALEGRE - JARDIM BOTANICO,-30.05361111,-51.17472221
4315305,Quaraí,1764.4,QUARAI,-30.368578,-56.437115
4315602,Rio Grande,1871.6,RIO GRANDE,-32.07888888,-52.16777777
4315701,Rio Pardo,2121.8,RIO PARDO,-29.87222221,-52.38194443
4316907,Santa Maria,2204.2,SANTA MARIA,-29.72499999,-53.72055554
4317103,Sant'Ana do Livramento,1682.8,SANTANA DO LIVRAMENTO,-30.75055555,-55.40138888
4317202,Santa Rosa,1430.4,SANTA ROSA,-27.89055555,-54.47999999
4317301,Santa Vitória do Palmar,1443.6,Santa Vitoria do Palmar - Barra do Chui,-33.74222221,-53.37222221
4317400,Santiago,2217.4,SANTIAGO,-29.191599,-54.885653
4317806,Santo Augusto,2320,SANTO AUGUSTO,-27.85444444,-53.7911111
4318002,São Borja,1459,SAO BORJA,-28.65,-56.01638888
4318309,São Gabriel,1981.2,SAO GABRIEL,-30.34138888,-54.31083333
4318622,São José dos Ausentes,669.6,SAO JOSE DOS AUSENTES,-28.7486111,-50.05777777
4318903,São Luiz Gonzaga,1878.4,SAO LUIZ GONZAGA,-28.41722221,-54.9625
4319802,São Vicente do Sul,1736.8,SAO VICENTE DO SUL,-29.70222222,-54.69444444
4320404,Serafina Corrêa,2702.4,SERAFINA CORREA,-28.70472222,-51.87083332
4320800,Soledade,2256.4,SOLEDADE,-28.859211,-52.542387
4321352,Tavares,121.6,MOSTARDAS,-31.24833333,-50.90638888
4321451,Teutônia,1981.8,TEUTONIA,-29.44916666,-51.82333332
4321600,Tramandaí,1179,TRAMANDAI,-30.01027777,-50.13583333
4322202,Tupanciretã,2239,TUPANCIRETA,-29.08944444,-53.82666666
4322400,Uruguaiana,1588,URUGUAIANA,-29.83999999,-57.08194443
4322509,Vacaria,2175,VACARIA,-28.51361111,-50.88277777
