estacao,latitude,longitude,CD_MUN,Municí­pio,SIGLA_UF
ALEGRETE,-29.70916666,-55.52555554,4300406,Alegrete,RS
BAGE,-31.34777777,-54.01333333,4301602,Bagé,RS
BENTO GONCALVES,-29.164581,-51.534202,4302105,Bento Gonçalves,RS
CACAPAVA DO SUL,-30.54527777,-53.46694443,4302808,Caçapava do Sul,RS
CAMAQUA,-30.80805555,-51.83416666,4303509,Camaquí,RS
CAMBARA DO SUL,-29.04916666,-50.14972221,4303608,Cambará do Sul,RS
CAMPO BOM,-29.674293,-51.064042,4303905,Campo Bom,RS
CANELA,-29.36888888,-50.82722221,4304408,Canela,RS
CANGUCU,-31.40333333,-52.70083333,4304507,Canguçu,RS
CAPAO DO LEAO (PELOTAS),-31.8025,-52.40722222,4304663,Capão do Leão,RS
CRUZ ALTA,-28.60344,-53.673597,4306106,Cruz Alta,RS
DOM PEDRITO,-31.0025,-54.61805554,4306601,Dom Pedrito,RS
ENCRUZILHADA DO SUL,-30.54305555,-52.52472221,4306908,Encruzilhada do Sul,RS
ERECHIM,-27.65777777,-52.30583333,4307005,Erechim,RS
FREDERICO WESTPHALEN,-27.39555555,-53.42944443,4308508,Frederico Westphalen,RS
IBIRUBA,-28.65333333,-53.11194444,4310009,Ibirubá,RS
JAGUARAO,-32.53472221,-53.37583332,4311007,Jaguarão,RS
LAGOA VERMELHA,-28.222381,-51.512845,4311304,Lagoa Vermelha,RS
PALMEIRA DAS MISSOES,-27.92027777,-53.31805554,4313706,Palmeira das Missões,RS
PASSO FUNDO,-28.22666666,-52.40361111,4314100,Passo Fundo,RS
PORTO ALEGRE- BELEM NOVO,-30.1861111,-51.17805554,4314902,Porto Alegre,RS
PORTO ALEGRE - JARDIM BOTANICO,-30.05361111,-51.17472221,4314902,Porto Alegre,RS
QUARAI,-30.368578,-56.437115,4315305,Quaraí,RS
RIO GRANDE,-32.07888888,-52.16777777,4315602,Rio Grande,RS
RIO PARDO,-29.87222221,-52.38194443,4315701,Rio Pardo,RS
SANTA MARIA,-29.72499999,-53.72055554,4316907,Santa Maria,RS
SANTANA DO LIVRAMENTO,-30.75055555,-55.40138888,4317103,Sant'Ana do Livramento,RS
SANTA ROSA,-27.89055555,-54.47999999,4317202,Santa Rosa,RS
Santa Vitoria do Palmar - Barra do Chui,-33.74222221,-53.37222221,4317301,Santa Vitória do Palmar,RS
SANTIAGO,-29.191599,-54.885653,4317400,Santiago,RS
SANTO AUGUSTO,-27.85444444,-53.7911111,4317806,Santo Augusto,RS
SAO BORJA,-28.65,-56.01638888,4318002,São Borja,RS
SAO GABRIEL,-30.34138888,-54.31083333,4318309,São Gabriel,RS
SAO JOSE DOS AUSENTES,-28.7486111,-50.05777777,4318622,São José dos Ausentes,RS
SAO LUIZ GONZAGA,-28.41722221,-54.9625,4318903,São Luiz Gonzaga,RS
SAO VICENTE DO SUL,-29.70222222,-54.69444444,4319802,São Vicente do Sul,RS
SERAFINA CORREA,-28.70472222,-51.87083332,4320404,Serafina Corrêa,RS
SOLEDADE,-28.859211,-52.542387,4320800,Soledade,RS
MOSTARDAS,-31.24833333,-50.90638888,4321352,Tavares,RS
TEUTONIA,-29.44916666,-51.82333332,4321451,Teutônia,RS
TRAMANDAI,-30.01027777,-50.13583333,4321600,Tramandaí,RS
TUPANCIRETA,-29.08944444,-53.82666666,4322202,Tupanciretã,RS
URUGUAIANA,-29.83999999,-57.08194443,4322400,Uruguaiana,RS
VACARIA,-28.51361111,-50.88277777,4322509,Vacaria,RS
